sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961059E2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2015-07-07T15:57:04.000+00:00,37.803936157,-122.30008793,3.71
2015-07-07T15:57:04.000+00:00,37.803947385,-122.300080263,4.26
2015-07-07T15:57:06.000+00:00,37.80395695,-122.300073361,4.61
2015-07-07T15:57:07.000+00:00,37.803965881,-122.300066582,4.36
2015-07-07T15:57:08.000+00:00,37.803973858,-122.300057924,4.16
2015-07-07T15:57:09.000+00:00,37.803981603,-122.30004746,4.21
2015-07-07T15:57:10.000+00:00,37.803989752,-122.300037296,4.71
2015-07-07T15:57:11.000+00:00,37.804000348,-122.300027842,4.91
2015-07-07T15:57:12.000+00:00,37.804012183,-122.300019774,4.51
2015-07-07T15:57:12.000+00:00,37.804020833,-122.300010735,4.26
2015-07-07T15:57:14.000+00:00,37.804029984,-122.300001117,3.81
2015-07-07T15:57:15.000+00:00,37.804037647,-122.299992713,3.42
2015-07-07T15:57:16.000+00:00,37.804045421,-122.299985395,3.81
2015-07-07T15:57:17.000+00:00,37.804052951,-122.299976396,4.41
2015-07-07T15:57:18.000+00:00,37.80406152,-122.299967805,5.01
2015-07-07T15:57:19.000+00:00,37.804069811,-122.299961096,5.56
2015-07-07T15:57:20.000+00:00,37.804078438,-122.299953332,5.62
2015-07-07T15:57:21.000+00:00,37.804086725,-122.299946109,5.21
2015-07-07T15:57:22.000+00:00,37.804095182,-122.299938111,5.41
2015-07-07T15:57:23.000+00:00,37.80410438,-122.299930062,5.11
2015-07-07T15:57:24.000+00:00,37.804113759,-122.299920822,5.01
2015-07-07T15:57:25.000+00:00,37.804124535,-122.299913544,5.01
2015-07-07T15:57:26.000+00:00,37.80413308,-122.299907693,4.96
2015-07-07T15:57:27.000+00:00,37.804141738,-122.299901031,5.36
2015-07-07T15:57:28.000+00:00,37.804151217,-122.299894247,5.26
2015-07-07T15:57:29.000+00:00,37.804159354,-122.299885764,5.01
2015-07-07T15:57:30.000+00:00,37.804168803,-122.299878075,5.21
2015-07-07T15:57:31.000+00:00,37.804179224,-122.299869542,4.81
2015-07-07T15:57:32.000+00:00,37.804187979,-122.29986218,4.86
2015-07-07T15:57:33.000+00:00,37.804195474,-122.299856812,4.66
2015-07-07T15:57:34.000+00:00,37.804204668,-122.299849777,5.01
2015-07-07T15:57:35.000+00:00,37.804213952,-122.299843588,5.26
2015-07-07T15:57:36.000+00:00,37.804221629,-122.299836071,5.16
2015-07-07T15:57:37.000+00:00,37.804232618,-122.299828515,4.66
2015-07-07T15:57:38.000+00:00,37.804241909,-122.299817645,4.56
2015-07-07T15:57:39.000+00:00,37.804250709,-122.299807048,4.81
2015-07-07T15:57:40.000+00:00,37.80425881,-122.299797911,4.96
2015-07-07T15:57:41.000+00:00,37.804266529,-122.299790165,4.66
2015-07-07T15:57:42.000+00:00,37.804276006,-122.29978206,4.66
2015-07-07T15:57:43.000+00:00,37.804283316,-122.299772079,5.16
2015-07-07T15:57:44.000+00:00,37.804291055,-122.299760869,4.91
2015-07-07T15:57:45.000+00:00,37.804300064,-122.299751855,5.06
2015-07-07T15:57:46.000+00:00,37.804309033,-122.299740371,4.66
2015-07-07T15:57:47.000+00:00,37.804319509,-122.299733259,5.21
2015-07-07T15:57:48.000+00:00,37.804328708,-122.299726311,5.26
2015-07-07T15:57:49.000+00:00,37.804337743,-122.299718086,5.06
2015-07-07T15:57:50.000+00:00,37.804347594,-122.299710055,5.06
2015-07-07T15:57:51.000+00:00,37.804355823,-122.299701668,5.36
2015-07-07T15:57:52.000+00:00,37.804363515,-122.299692385,4.81
2015-07-07T15:57:53.000+00:00,37.804371304,-122.299683762,4.81
2015-07-07T15:57:54.000+00:00,37.804379649,-122.29967803,5.01
2015-07-07T15:57:55.000+00:00,37.804387149,-122.299673142,4.96
2015-07-07T15:57:56.000+00:00,37.804391149,-122.299662244,4.81
2015-07-07T15:57:57.000+00:00,37.804395973,-122.299652626,5.21
2015-07-07T15:57:58.000+00:00,37.804404282,-122.299643728,5.01
